[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:0c:29:7d:49:ca -> 00:50:56:c0:00:08 | ARP Request | 192.168.28.136 -> 192.168.28.1
[6/23/2026 14:18] 00:50:56:c0:00:08 -> 00:0c:29:7d:49:ca | ARP Reply | 192.168.28.1 -> 192.168.28.136
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:18] 00:50:56:c0:00:08 -> ff:ff:ff:ff:ff:ff | ARP Request | 192.168.28.1 -> 192.168.28.2
[6/23/2026 14:19] 00:0c:29:7d:49:ca -> 00:50:56:c0:00:08 | ARP Request | 192.168.28.136 -> 192.168.28.1
[6/23/2026 14:19] 00:50:56:c0:00:08 -> 00:0c:29:7d:49:ca | ARP Reply | 192.168.28.1 -> 192.168.28.136
